2018-01-03 08:06:05,928 [Worker-4] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-01-03 08:13:22,139 [Worker-7] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-01-03 08:16:49,592 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-01-03 08:18:53,484 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: lavacar:lavacar:1.0.1-SNAPSHOT @ /home/eliel/Área de Trabalho/Henrique - Learning - Work 2017/Projetos/lava-car/lavacar/pom.xml.
2018-01-03 08:19:03,860 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-03 08:19:03,937 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-01-03 08:19:04,010 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-03 08:19:04,011 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/eliel/Área de Trabalho/Henrique - Learning - Work 2017/Projetos/lava-car/lavacar/src/test/resources
2018-01-03 08:19:05,445 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-03 08:19:05,468 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-01-03 08:19:05,470 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-03 08:19:05,471 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/eliel/Área de Trabalho/Henrique - Learning - Work 2017/Projetos/lava-car/lavacar/src/test/resources
2018-01-04 08:40:36,089 [Worker-5] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2018-01-04 10:37:07,237 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 10:37:07,252 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-01-04 10:37:07,259 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 10:37:07,259 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/eliel/Área de Trabalho/Henrique - Learning - Work 2017/Projetos/lava-car/lavacar/src/test/resources
2018-01-04 10:37:09,488 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 10:37:09,522 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-01-04 10:37:09,524 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 10:37:09,524 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/eliel/Área de Trabalho/Henrique - Learning - Work 2017/Projetos/lava-car/lavacar/src/test/resources
2018-01-04 10:38:17,594 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 10:38:17,595 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-01-04 10:38:17,596 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 10:38:17,597 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/eliel/Área de Trabalho/Henrique - Learning - Work 2017/Projetos/lava-car/lavacar/src/test/resources
2018-01-04 10:40:06,979 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 10:40:06,980 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-01-04 10:40:06,981 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 10:40:06,981 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/eliel/Área de Trabalho/Henrique - Learning - Work 2017/Projetos/lava-car/lavacar/src/test/resources
2018-01-04 10:40:51,507 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 10:40:51,508 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-01-04 10:40:51,509 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 10:40:51,510 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/eliel/Área de Trabalho/Henrique - Learning - Work 2017/Projetos/lava-car/lavacar/src/test/resources
2018-01-04 11:16:56,772 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 11:16:56,774 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-01-04 11:16:56,775 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 11:16:56,776 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/eliel/Área de Trabalho/Henrique - Learning - Work 2017/Projetos/lava-car/lavacar/src/test/resources
2018-01-04 11:17:58,077 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 11:17:58,078 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-01-04 11:17:58,081 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 11:17:58,081 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/eliel/Área de Trabalho/Henrique - Learning - Work 2017/Projetos/lava-car/lavacar/src/test/resources
2018-01-04 11:19:18,340 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 11:19:18,341 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-01-04 11:19:18,343 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 11:19:18,343 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/eliel/Área de Trabalho/Henrique - Learning - Work 2017/Projetos/lava-car/lavacar/src/test/resources
2018-01-04 11:20:11,263 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 11:20:11,264 [Worker-52] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-01-04 11:20:11,266 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 11:20:11,266 [Worker-52] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/eliel/Área de Trabalho/Henrique - Learning - Work 2017/Projetos/lava-car/lavacar/src/test/resources
2018-01-04 11:23:23,591 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 11:23:23,592 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-01-04 11:23:23,594 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 11:23:23,595 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/eliel/Área de Trabalho/Henrique - Learning - Work 2017/Projetos/lava-car/lavacar/src/test/resources
2018-01-04 11:23:48,889 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 11:23:48,890 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-01-04 11:23:48,891 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 11:23:48,892 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/eliel/Área de Trabalho/Henrique - Learning - Work 2017/Projetos/lava-car/lavacar/src/test/resources
2018-01-04 11:33:16,219 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 11:33:16,220 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-01-04 11:33:16,222 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 11:33:16,222 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/eliel/Área de Trabalho/Henrique - Learning - Work 2017/Projetos/lava-car/lavacar/src/test/resources
2018-01-04 11:34:41,347 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 11:34:41,348 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-01-04 11:34:41,351 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 11:34:41,351 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/eliel/Área de Trabalho/Henrique - Learning - Work 2017/Projetos/lava-car/lavacar/src/test/resources
2018-01-04 13:38:02,281 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 13:38:02,290 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-01-04 13:38:02,292 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 13:38:02,293 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/eliel/Área de Trabalho/Henrique - Learning - Work 2017/Projetos/lava-car/lavacar/src/test/resources
2018-01-04 13:38:26,380 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 13:38:26,381 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-01-04 13:38:26,382 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 13:38:26,383 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/eliel/Área de Trabalho/Henrique - Learning - Work 2017/Projetos/lava-car/lavacar/src/test/resources
2018-01-04 13:39:01,047 [Worker-57] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 13:39:01,048 [Worker-57] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-01-04 13:39:01,050 [Worker-57] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 13:39:01,051 [Worker-57] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/eliel/Área de Trabalho/Henrique - Learning - Work 2017/Projetos/lava-car/lavacar/src/test/resources
2018-01-04 13:39:08,366 [Worker-57] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 13:39:08,367 [Worker-57] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-01-04 13:39:08,368 [Worker-57] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
